,MDS_x,MDS_y,Entity,tsne_x,tsne_y,scluster6,kmeans6
893,-1.5708241720658704,-3.8218355794780066,Bahrain,10.537556,9.1138315,4,3
951,-0.3768182730088,-10.500500122122416,Bangladesh,14.680747,14.098342,4,3
1009,4.010965861559587,-5.223804379205635,Barbados,17.32698,8.158852,4,3
13569,4.694136140432701,-7.1538063356979595,Bavaria,17.659843,8.941245,4,3
1067,5.455931733785232,-9.518394364701408,Belarus,18.238794,10.102871,4,3
1094,1.732004220888949,-17.786990650859163,Belgium,18.41801,14.599336,3,4
1113,4.371540585329655,-18.645461286099493,Belgium-Luxembourg,19.148079,14.132256,5,4
1152,4.5754362140010025,-12.37147931627013,Belize,18.239428,11.905541,5,3
1210,3.853139588358162,2.5706084886048006,Benin,13.4469795,-0.342479,0,0
1268,-6.680528911059616,-7.744745723868781,Bermuda,10.002352,12.943701,4,3
1326,1.6915501329935483,4.064021777579377,Bhutan,0.23370336,-10.830035,0,0
1384,-2.3051120630714674,8.085688077691751,Bolivia,-19.370396,-8.6553135,0,2
13570,-1.6763820240653204,5.301113896162358,Bonaire Sint Eustatius and Saba,-7.67757,-8.413098,0,2
1442,0.43831753894118075,2.383553518065798,Bosnia and Herzegovina,-0.68627554,0.9442244,0,0
1469,0.09267319184795848,-1.0373220991428855,Botswana,8.102898,3.8157458,0,0
13571,1.427052975496118,-0.6242612446115707,Bouvet Island,5.673393,5.810027,0,0
1527,-2.2786546532955234,-2.272911695903177,Brazil,4.5325737,7.376348,0,0
13572,1.6085479486505616,-0.45329238344068534,British Indian Ocean Territory,5.698163,5.778803,0,0
1585,0.82334910955703,-0.6152792655661827,British Virgin Islands,10.196196,2.8952644,0,0
1643,-1.553311976272968,5.682016798005577,Brunei,-8.507695,-9.806042,0,2
1701,-3.318382826300067,-1.3895139397840415,Bulgaria,8.646918,-4.2162013,0,0
1759,2.374274924665651,3.9152323589104228,Burkina Faso,1.0893623,-11.106583,0,0
1817,-2.214766767502977,8.125705802077237,Burundi,-19.97461,-8.139037,0,2
1875,-2.58453525013378,7.884097181854382,Cambodia,-18.295033,-9.197492,0,2
1933,-2.0416005554050605,7.652280197157995,Cameroon,-18.806807,-7.041203,0,2
1991,-4.013729278992361,3.107751892135533,Canada,-7.244312,-1.626296,0,2
2049,-0.09867953023173531,0.36359631543025805,Cape Verde,5.5910144,1.2104324,0,0
2107,-0.9558367343956203,4.180333547891541,Caribbean,-4.1153193,-6.319937,0,2
13573,-0.9813106123563916,5.730995503769825,Cayman Islands,-6.5313234,-10.22031,0,2
2165,-1.1397391781461133,7.256095948241492,Central African Republic,-19.166548,-4.3402696,0,2
2223,-4.366457744981784,4.037729698878817,Central America,-7.6340365,-1.4493524,0,2
2281,-1.3905303287043993,-3.8912441179026502,Chad,10.675014,9.120724,4,3
13574,-1.5313075892924617,-7.6336227727444275,Channel Islands,13.426514,12.176826,4,3
2339,-2.0532505652993454,-11.811119089054511,Chile,14.455717,15.023799,4,3
2397,16.375687319430057,-24.131772120257423,China,6.714406,15.254564,1,4
13575,11.89103777184952,-20.43014796568093,Christmas Island,17.239004,15.617736,1,4
13576,7.78354815076925,-17.93676132822102,Cocos Islands,17.68552,15.042543,1,4
2455,3.995826937963048,-16.81657251117013,Colombia,18.58599,13.973796,3,4
2513,3.974857733292648,-12.92801688725576,Comoros,18.495342,12.494019,5,4
2571,1.9441795683150584,4.448720705471766,Congo,-0.044545595,-11.43043,0,2
2629,-2.8822094693092932,8.078416923795746,Cook Islands,-18.88305,-10.403093,0,2
2687,-6.327308793917898,-6.198833980639434,Costa Rica,9.944048,12.568243,4,3
2745,-6.174419395781479,-3.121976178338486,Cote d'Ivoire,14.597608,1.2629342,0,0
2803,-4.639760607080803,-8.31784911867899,Croatia,11.745967,15.292567,4,3
2830,3.3048728701354464,1.3303242183244226,Cuba,13.188008,0.5774559,0,0
13577,0.17904900752195135,1.1612530451188459,Curacao,3.571566,-0.11381618,0,0
2888,-3.0131500183560394,0.8537426799573846,Cyprus,6.886237,-4.256214,0,0
2946,-1.2193105358776544,-4.409455654668171,Czechia,11.401798,7.572621,4,3
2972,5.162249636320624,-4.298591564157772,Czechoslovakia,16.720705,6.914464,4,3
3004,2.088720730531287,4.511253876138365,Democratic Republic of Congo,0.16329989,-11.980916,0,2
3062,-4.8064064530536355,0.14341517986426022,Denmark,8.18297,-5.7725873,0,0
3120,1.176075178520535,-2.0535730417319575,Djibouti,11.778318,4.4671636,4,0
3178,-0.49400017995468376,5.596273318473382,Dominica,-5.507948,-10.770244,0,2
3236,-3.398171960877759,4.1149947217141145,Dominican Republic,-8.056344,-3.7048814,0,2
13579,-1.3285417639241452,4.478844451653373,East Germany,-5.0003743,-6.0748887,0,2
3294,0.6738550188077195,4.860069679435512,Eastern Africa,-2.6583354,-11.978263,0,2
3352,-10.189765793023348,-24.17866405529346,Eastern Asia,6.404427,15.051494,0,1
3410,15.02185539171965,-4.54289288560561,Eastern Europe,5.255294,11.485162,1,3
3468,-2.4400201577268668,0.9468056111821765,Ecuador,6.1967554,-3.6164374,0,0
3526,0.7437326416451607,-34.34297298188926,Egypt,17.811304,17.299112,2,4
3584,-0.024092048768273082,-23.796440772675073,El Salvador,20.15939,12.838207,0,4
3642,0.5554232796820843,2.660925659860331,Equatorial Guinea,1.6034635,-4.490447,0,0
3700,1.462688626361299,4.570050696870932,Eritrea,-0.74438214,-11.804801,0,2
13580,0.4573141605230547,3.5304868533242315,Eritrea and Ethiopia,-0.6480315,-8.149367,0,0
3726,-0.569044238396553,2.446594023188035,Estonia,-0.42305303,-0.018784128,0,0
3753,-0.0962093872738513,3.2636291611128514,Eswatini,-0.30114225,-6.624481,0,0
3811,-0.6294143581292959,5.426310705983816,Ethiopia,-5.450834,-10.140952,0,2
3837,4.358927576052036,7.600391903635329,Ethiopia PDR,-9.168623,1.1867778,0,2
3869,28.93992103391097,5.790249627180207,Europe,2.4317508,13.021356,1,1
3927,9.152644023465072,-8.18151265544253,"Europe, Western",6.7767835,12.475928,4,3
3985,19.91104835881539,-6.983114961555432,European Union,4.030185,12.601198,1,1
4043,1.8483203009438232,-5.468976400331126,Faeroe Islands,14.631929,7.8041224,4,3
4096,0.1426002957783912,-1.5440544828915659,Falkland Islands,9.494333,3.814283,4,0
4154,0.15770076650099535,2.704102591556742,Fiji,0.8222875,-5.2348948,0,0
4212,-3.2247621718817765,-1.1851344713728353,Finland,8.996948,-3.521125,0,0
4270,-0.3403122897287764,-7.570732574171649,France,12.313791,13.125742,4,3
